Tahun,Jk,Umur,Penduduk
2018,Laki-laki,20-24,11138
2018,Laki-laki,25-29,10693
2018,Laki-laki,30-34,10647
2018,Laki-laki,35-39,10542
2018,Laki-laki,40-44,9670
2018,Laki-laki,45-49,8755
2018,Laki-laki,50-54,7643
2018,Laki-laki,55-59,6202
2018,Laki-laki,60-64,4573
2018,Laki-laki,65-69,3070
2018,Laki-laki,70-74,2078
2018,Laki-laki,75-79,1351
2018,Laki-laki,80-84,687
2018,Laki-laki,85+,295
2018,Perempuan,00-04,11277
2018,Perempuan,05-09,11665
2018,Perempuan,10-14,11129
2018,Perempuan,15-19,10697
2018,Perempuan,20-24,10587
2018,Perempuan,25-29,10164
2018,Perempuan,30-34,10164
2018,Perempuan,35-39,10168
2018,Perempuan,40-44,9451
2018,Perempuan,45-49,8647
2018,Perempuan,50-54,7640
2018,Perempuan,55-59,6327
2018,Perempuan,60-64,4849
2018,Perempuan,65-69,3483
2018,Perempuan,70-74,2711
2018,Perempuan,75-79,1939
2018,Perempuan,80-84,1089
2018,Perempuan,85+,545
2019,Laki-laki,00-04,11741
2019,Laki-laki,05-09,12292
2019,Laki-laki,10-14,11882
2019,Laki-laki,15-19,11285
2019,Laki-laki,20-24,11195
2019,Laki-laki,25-29,10716
2019,Laki-laki,30-34,10583
2019,Laki-laki,35-39,10636
2019,Laki-laki,40-44,9819
2019,Laki-laki,45-49,8897
2019,Laki-laki,50-54,7823
2019,Laki-laki,55-59,6419
2019,Laki-laki,60-64,4787
2019,Laki-laki,65-69,3225
2019,Laki-laki,70-74,2115
2019,Laki-laki,75-79,1366
2019,Laki-laki,80-84,708
2019,Laki-laki,85+,308
2019,Perempuan,00-04,11136
2019,Perempuan,05-09,11666
2019,Perempuan,10-14,11273
2019,Perempuan,15-19,10700
2019,Perempuan,20-24,10645
2019,Perempuan,25-29,10188
2019,Perempuan,30-34,10095
2019,Perempuan,35-39,10235
2019,Perempuan,40-44,9577
2019,Perempuan,45-49,8781
2019,Perempuan,50-54,7819
2019,Perempuan,55-59,6546
2019,Perempuan,60-64,5071
2019,Perempuan,65-69,3637
2019,Perempuan,70-74,2738
2019,Perempuan,75-79,1973
2019,Perempuan,80-84,1129
2019,Perempuan,85+,575
2020,Laki-laki,00-04,11615
2020,Laki-laki,05-09,12259
2020,Laki-laki,10-14,12005
2020,Laki-laki,15-19,11327
2020,Laki-laki,20-24,11222
2020,Laki-laki,25-29,10773
2020,Laki-laki,30-34,10538
2020,Laki-laki,35-39,10674
2020,Laki-laki,40-44,9967
2020,Laki-laki,45-49,9028
2020,Laki-laki,50-54,7987
2020,Laki-laki,55-59,6616
2020,Laki-laki,60-64,4989
2020,Laki-laki,65-69,3379
2020,Laki-laki,70-74,2152
2020,Laki-laki,75-79,1370
2020,Laki-laki,80-84,715
2020,Laki-laki,85+,311
2020,Perempuan,00-04,11013
2020,Perempuan,05-09,11634
2020,Perempuan,10-14,11393
2020,Perempuan,15-19,10740
