Provinsi,Tahun,Tamu,Hotel,Jumlah
Sumatera Barat,2006,WNI,Non-Bintang,274515
Sumatera Barat,2007,WNI,Non-Bintang,330907
Sumatera Barat,2008,WNI,Non-Bintang,559846
Sumatera Barat,2009,WNI,Non-Bintang,609010
Sumatera Barat,2010,WNI,Non-Bintang,662229
Sumatera Barat,2011,WNI,Non-Bintang,854994
Sumatera Barat,2012,WNI,Non-Bintang,820854
Sumatera Barat,2013,WNI,Non-Bintang,683451.91
Sumatera Barat,2014,WNI,Non-Bintang,934243.36
Sumatera Barat,2015,WNI,Non-Bintang,463806.48
Sumatera Barat,2016,WNI,Non-Bintang,1128314
Sumatera Barat,2017,WNI,Non-Bintang,1202554.24
Sumatera Barat,2018,WNI,Non-Bintang,862927
Sumatera Barat,2019,WNI,Non-Bintang,1167212
Sumatera Barat,2020,WNI,Non-Bintang,236691
Sumatera Barat,2021,WNI,Non-Bintang,627289
Riau,2003,WNA,Berbintang,637.2
Riau,2004,WNA,Berbintang,527.4
Riau,2005,WNA,Berbintang,654.7
Riau,2006,WNA,Berbintang,41.7
Riau,2007,WNA,Berbintang,18.1
Riau,2008,WNA,Berbintang,14.6
Riau,2009,WNA,Berbintang,17.1
Riau,2010,WNA,Berbintang,18.5
Riau,2011,WNA,Berbintang,19.3
Riau,2012,WNA,Berbintang,16.2
Riau,2013,WNA,Berbintang,64.6
Riau,2014,WNA,Berbintang,88.7
Riau,2015,WNA,Berbintang,25.9
Riau,2016,WNA,Berbintang,33.13
Riau,2017,WNA,Berbintang,35.19
Riau,2018,WNA,Berbintang,30.54
Riau,2019,WNA,Berbintang,35.33
Riau,2020,WNA,Berbintang,7.77
Riau,2021,WNA,Berbintang,5.41
Riau,2003,WNI,Berbintang,633.4
Riau,2004,WNI,Berbintang,699.1
Riau,2005,WNI,Berbintang,757.7
Riau,2006,WNI,Berbintang,444.8
Riau,2007,WNI,Berbintang,446.5
Riau,2008,WNI,Berbintang,512.8
Riau,2009,WNI,Berbintang,620
Riau,2010,WNI,Berbintang,652.2
Riau,2011,WNI,Berbintang,745.5
Riau,2012,WNI,Berbintang,704.2
Riau,2013,WNI,Berbintang,1617.7
Riau,2014,WNI,Berbintang,1808.4
Riau,2015,WNI,Berbintang,803.2
Riau,2016,WNI,Berbintang,1543.12
Riau,2017,WNI,Berbintang,1900.31
Riau,2018,WNI,Berbintang,1884.93
Riau,2019,WNI,Berbintang,4646.98
Riau,2020,WNI,Berbintang,7.77
Riau,2021,WNI,Berbintang,1341.38
Riau,2003,WNA,Non-Bintang,24976
Riau,2004,WNA,Non-Bintang,34692
Riau,2005,WNA,Non-Bintang,100517
Riau,2006,WNA,Non-Bintang,796
Riau,2007,WNA,Non-Bintang,639
Riau,2008,WNA,Non-Bintang,563
Riau,2009,WNA,Non-Bintang,1298
Riau,2010,WNA,Non-Bintang,1693
Riau,2011,WNA,Non-Bintang,1348
Riau,2012,WNA,Non-Bintang,251
Riau,2013,WNA,Non-Bintang,1245.77
Riau,2014,WNA,Non-Bintang,2020.6
Riau,2015,WNA,Non-Bintang,204.39
Riau,2016,WNA,Non-Bintang,1379
Riau,2017,WNA,Non-Bintang,1797.43
Riau,2018,WNA,Non-Bintang,198852
Riau,2019,WNA,Non-Bintang,65845
Riau,2020,WNA,Non-Bintang,3342
Riau,2021,WNA,Non-Bintang,389
Riau,2003,WNI,Non-Bintang,2864927
Riau,2004,WNI,Non-Bintang,2713983
Riau,2005,WNI,Non-Bintang,572475
Riau,2006,WNI,Non-Bintang,535112
Riau,2007,WNI,Non-Bintang,1348495
Riau,2008,WNI,Non-Bintang,1266620
Riau,2009,WNI,Non-Bintang,1337925
Riau,2010,WNI,Non-Bintang,1377737
Riau,2011,WNI,Non-Bintang,1825680
Riau,2012,WNI,Non-Bintang,1455159
Riau,2013,WNI,Non-Bintang,1768825.52
Riau,2014,WNI,Non-Bintang,1246236.87
Riau,2015,WNI,Non-Bintang,510693.33
Riau,2016,WNI,Non-Bintang,2399251
Riau,2017,WNI,Non-Bintang,2415264.87
Riau,2018,WNI,Non-Bintang,2137285
Riau,2019,WNI,Non-Bintang,1413345
Riau,2020,WNI,Non-Bintang,549133
Riau,2021,WNI,Non-Bintang,1173258
Jambi,2003,WNA,Berbintang,2.2
Jambi,2004,WNA,Berbintang,2
Jambi,2005,WNA,Berbintang,1.9
Jambi,2006,WNA,Berbintang,1.5
Jambi,2007,WNA,Berbintang,2.4
Jambi,2008,WNA,Berbintang,4.4
Jambi,2009,WNA,Berbintang,2.6
Jambi,2010,WNA,Berbintang,3.8
Jambi,2011,WNA,Berbintang,2.4
Jambi,2012,WNA,Berbintang,1.2
Jambi,2013,WNA,Berbintang,1.3
Jambi,2014,WNA,Berbintang,2.1
Jambi,2015,WNA,Berbintang,4.9
Jambi,2016,WNA,Berbintang,4.05
Jambi,2017,WNA,Berbintang,7.89
Jambi,2018,WNA,Berbintang,5.66
Jambi,2019,WNA,Berbintang,6.02
Jambi,2020,WNA,Berbintang,1.44
Jambi,2021,WNA,Berbintang,0.81
Jambi,2003,WNI,Berbintang,73.9
Jambi,2004,WNI,Berbintang,75.5
Jambi,2005,WNI,Berbintang,79.1
Jambi,2006,WNI,Berbintang,93.2
Jambi,2007,WNI,Berbintang,97.9
Jambi,2008,WNI,Berbintang,191.5
Jambi,2009,WNI,Berbintang,150.1
Jambi,2010,WNI,Berbintang,194.5
Jambi,2011,WNI,Berbintang,241.2
Jambi,2012,WNI,Berbintang,213.4
Jambi,2013,WNI,Berbintang,267.5
Jambi,2014,WNI,Berbintang,277.3
Jambi,2015,WNI,Berbintang,352.8
Jambi,2016,WNI,Berbintang,634.65
Jambi,2017,WNI,Berbintang,623.72
Jambi,2018,WNI,Berbintang,541.65
Jambi,2019,WNI,Berbintang,502.86
Jambi,2020,WNI,Berbintang,1.44
Jambi,2021,WNI,Berbintang,386.67
Jambi,2003,WNA,Non-Bintang,157
Jambi,2004,WNA,Non-Bintang,192
Jambi,2005,WNA,Non-Bintang,145
